[269, 30.89, 1, [52.6039459, 39.538502], [52.6041236, 39.5388536]],
[270, 51.085, 1, [52.6039829, 39.5377905], [52.6039459, 39.538502]],
[271, 39.257, 1, [52.6039829, 39.5377905], [52.6036879, 39.5381095]],
[272, 40.651, 1, [52.6032359, 39.5382637], [52.6036014, 39.5382763]],
[273, 585.301, 1, [52.6032359, 39.5382637], [52.5987216, 39.5344901]],
[274, 659.877, 1, [52.595531, 39.538459], [52.5916334, 39.5457985]],
[275, 306.33299999999997, 1, [52.595531, 39.538459], [52.5936416, 39.5417559]],
[276, 153.36599999999999, 1, [52.5982596, 39.5338602], [52.5972542, 39.5352251]],
[277, 26.773, 1, [52.606418, 39.54343], [52.606262, 39.543128]],
[278, 206.556, 1, [52.606418, 39.54343], [52.6076291, 39.5457494]],
[279, 31.240000000000002, 1, [52.598178, 39.534301], [52.5982596, 39.5338602]],
[280, 47.492000000000004, 1, [52.598178, 39.534301], [52.5985822, 39.534284]],
[281, 325.431, 1, [52.5974517, 39.5587732], [52.5997535, 39.5617485]],
[282, 150.339, 1, [52.5974517, 39.5587732], [52.5963927, 39.5573895]],
[283, 180.94099999999997, 1, [52.5974517, 39.5587732], [52.5984286, 39.5566372]],
[284, 186.17, 1, [52.5974517, 39.5587732], [52.5964314, 39.5609585]],
[285, 407.713, 1, [52.5933387, 39.544237], [52.596101, 39.5482024]],
[286, 574.452, 1, [52.5933387, 39.544237], [52.5967899, 39.5379086]],
[287, 311.494, 1, [52.5933387, 39.544237], [52.591436, 39.547621]],
[288, 90.50500000000001, 1, [52.599899, 39.553592], [52.5992712, 39.5527392]],
[289, 145.062, 1, [52.599899, 39.553592], [52.6007356, 39.5519439]],
[290, 110.08099999999999, 1, [52.599899, 39.553592], [52.59927, 39.5548506]],
[291, 145.062, 1, [52.6007356, 39.5519439], [52.599899, 39.553592]],
[292, 20.833, 1, [52.5987216, 39.5344901], [52.5985822, 39.534284]],
[293, 248.686, 1, [52.5987216, 39.5344901], [52.5971948, 39.5371806]],
[294, 585.3009999999999, 1, [52.5987216, 39.5344901], [52.6032359, 39.5382637]],
[295, 20.563, 1, [52.5967899, 39.5379086], [52.5969154, 39.537685]],
[296, 790.0889999999999, 1, [52.5967899, 39.5379086], [52.5992258, 39.5482633]],
[297, 574.452, 1, [52.5967899, 39.5379086], [52.5933387, 39.544237]],
[298, 20.833, 1, [52.5985822, 39.534284], [52.5987216, 39.5344901]],
[299, 45.9, 1, [52.5985822, 39.534284], [52.5982596, 39.5338602]],
[300, 251.371, 1, [52.5977498, 39.550736], [52.596101, 39.5482024]],
